ticker,category,kind,gate_category,extreme_date,extreme_price,transition_date,state,reason,pending_date,sublevel_date,native_date,invalidated_date,invalid_reason
SPY,vertex,top,vertex,2025-09-23,667.34,2025-09-23,pending,,2025-09-23,,,2025-10-01,superseded
SPY,vertex,top,vertex,2025-09-23,667.34,2025-10-01,invalidated,superseded,2025-09-23,,,2025-10-01,superseded
SPY,divergence,top,divergence,2025-09-23,667.34,2025-09-23,pending,,2025-09-23,,,2025-10-01,superseded
SPY,divergence,top,divergence,2025-09-23,667.34,2025-10-01,invalidated,superseded,2025-09-23,,,2025-10-01,superseded
SPY,vertex,bottom,vertex,2025-09-24,659.67,2025-09-24,pending,,2025-09-24,,,2025-09-25,superseded
SPY,vertex,bottom,vertex,2025-09-24,659.67,2025-09-25,invalidated,superseded,2025-09-24,,,2025-09-25,superseded
SPY,vertex,bottom,vertex,2025-09-25,654.405,2025-09-25,pending,,2025-09-25,,,2025-10-01,superseded
SPY,vertex,bottom,vertex,2025-09-25,654.405,2025-10-01,invalidated,superseded,2025-09-25,,,2025-10-01,superseded
SPY,vertex,top,vertex,2025-10-01,669.37,2025-10-01,pending,,2025-10-01,,,2025-10-02,superseded
SPY,vertex,top,vertex,2025-10-01,669.37,2025-10-02,invalidated,superseded,2025-10-01,,,2025-10-02,superseded
SPY,divergence,top,divergence,2025-10-01,669.37,2025-10-01,pending,,2025-10-01,,,2025-10-02,superseded
SPY,divergence,top,divergence,2025-10-01,669.37,2025-10-02,invalidated,superseded,2025-10-01,,,2025-10-02,superseded
SPY,vertex,top,vertex,2025-10-02,670.565,2025-10-02,pending,,2025-10-02,,,2025-10-03,superseded
SPY,vertex,top,vertex,2025-10-02,670.565,2025-10-03,invalidated,superseded,2025-10-02,,,2025-10-03,superseded
SPY,divergence,top,divergence,2025-10-02,670.565,2025-10-02,pending,,2025-10-02,,,2025-10-03,superseded
SPY,divergence,top,divergence,2025-10-02,670.565,2025-10-03,invalidated,superseded,2025-10-02,,,2025-10-03,superseded
SPY,vertex,top,vertex,2025-10-03,672.675,2025-10-03,pending,,2025-10-03,,,2025-10-07,superseded
