ticker,market_date,rr_10,rr_25,rr_40,rr_slope,deviation_class,drive_class,rr_25d,fwd_ret,mom,mom_decile,exc_mom
OXY,2026-01-08,0.02838438124585213,-0.011814915004924376,-0.022710364940202676,-0.013364454834753847,NORMAL,STRUCTURAL,-0.006510131326806,0.07124681933842258,-0.0401865008880995,3,0.15057812320990088
OXY,2026-01-09,-0.012066507259998693,-0.01805263771641802,-0.018721886924567388,-0.02804488890541401,NORMAL,STRUCTURAL,-0.00465685721220704,0.08866075594960332,-0.03728661275831091,3,0.09326306220479315
OXY,2026-01-12,-0.015566092068992232,-0.023151543576282907,-0.04585235388539072,-0.022242495354773184,NORMAL,CHASE,-0.00754162551269599,0.08309925093632975,0.013523131672597888,3,0.10589551386737489
OXY,2026-01-13,0.013498143277571428,-0.009505513551828437,-0.01389102280413479,-0.015125743091180976,CHEAP,CHASE,-0.01632136323630601,0.09074116832140389,0.02098066949552102,4,0.11898630399267132
OXY,2026-01-14,-3.6758170636197462e-06,-0.019777340090721685,-0.021533371272710766,-0.024925406182182974,NORMAL,CHASE,-0.00604933022121701,0.026398916967508956,0.04824976348155152,5,0.008510313471138245
OXY,2026-01-15,-0.03051182838804095,-0.0013073591968907339,-0.02054494094950282,-0.0042208424809748735,NORMAL,CHASE,-0.004220183602895999,0.06717627982395169,0.030802292263610198,4,0.15119161672510784
OXY,2026-01-16,-0.013624361903692983,-0.00838435202308202,-0.022375453067672912,-0.00528916359069459,NORMAL,CHASE,-0.00528983388854099,0.07587822014051504,0.04044834307992207,4,0.05104298256487347
OXY,2026-01-20,0.004265358885077397,-0.016555774242239196,-0.01753895505209674,-0.016226855479059443,NORMAL,CHASE,-0.002229493567512009,0.11529356060606055,0.03276283618581921,4,0.10220826136545914
OXY,2026-01-21,0.03390309894106208,0.007671412657305532,-0.016913864536537204,0.006419111115400333,CHEAP,CHASE,-0.012069754154237,0.18432544242702842,0.06044357786985133,5,0.19396536895793792
OXY,2026-01-22,-0.010024660154565823,-0.009665763543126149,-0.030601940475676048,-0.005664229680230171,NORMAL,CHASE,-0.01118903700014495,0.20139049826187727,0.05475433879247138,5,0.23252009167640086
OXY,2026-01-23,0.0032225856717911228,-0.009972048888476637,-0.012156420686685765,-0.003300255586970946,CHEAP,CHASE,-0.01223008791449198,0.18888888888888888,0.05679367361610366,5,0.21993497610757115
OXY,2026-01-26,-0.006924026694901664,-0.02119755104127158,-0.019670842898501184,-0.016846465413442424,CHEAP,CHASE,-0.01453530913976497,0.182832422586521,0.02425373134328357,5,0.21267814884393532
OXY,2026-01-27,0.01135361977336019,-0.0045350821711015454,-0.000310127500150692,4.980132068499454e-05,CHEAP,CHASE,-0.01434730595579004,0.14343434343434347,0.046511627906976605,5,0.13367304619372516
OXY,2026-01-28,0.038894614647057846,-0.0004564360096502851,-0.019259278710439476,0.007577848174265767,CHEAP,CHASE,-0.017951666625867,0.14722284184697743,0.05981087470449187,5,0.11620690867654887
OXY,2026-01-29,0.008360169491218872,-0.015287578859409456,-0.023803208777666673,-0.005266328729509939,CHEAP,CHASE,-0.01394339584639298,0.16864817261118437,0.112417340191036,6,-0.020686834816114552
OXY,2026-01-30,0.018306909180798248,-0.022673596397456863,-0.028327444471443586,-0.008317388382853008,CHEAP,CHASE,-0.01998822963849301,0.19431592861863844,0.11853129620502711,6,0.15247457522686403
