market_date,mean_rrz,panic,chase,n,net_fear,VIX,VIX3M,VVIX,r_fwd,vix_fwd_chg,d_fear,d_rrz,d_vix,fear_resid
2026-04-14,0.725976776197285,0.2558139534883721,0.12790697674418605,86,0.12790697674418605,18.36,20.82,95.4,0.06295538979926829,-0.02015250544662317,0.0,-0.4850629091798725,-0.7600000000000016,0.0965427106310115
2026-04-15,0.5101827895799462,0.22093023255813954,0.11627906976744186,86,0.10465116279069768,18.17,20.78,97.65,0.06053376003657451,-0.016510731975784343,-0.023255813953488372,-0.21579398661733873,-0.18999999999999773,0.07931526257078396
2026-04-16,0.5025442450610718,0.18604651162790697,0.1511627906976744,86,0.034883720930232565,17.94,20.77,96.8,0.06628566542199921,-0.03790412486064654,-0.06976744186046512,-0.007638544518874468,-0.23000000000000043,0.016845316265318988
2026-04-17,0.3838525213566371,0.11627906976744186,0.16279069767441862,86,-0.04651162790697676,17.48,20.51,95.13,0.04087926324386726,0.05434782608695654,-0.08139534883720932,-0.11869172370443465,-0.46000000000000085,-0.049955041461890046
2026-04-20,0.46758917781864145,0.10465116279069768,0.1511627906976744,86,-0.04651162790697673,18.87,21.24,98.15,0.042231064454227196,-0.055643879173290944,2.7755575615628914e-17,0.08373665646200434,1.3900000000000006,-0.0940572972073256
2026-04-21,0.40464045023962825,0.13953488372093023,0.1511627906976744,86,-0.011627906976744179,19.5,21.51,101.89,0.04211169185319852,-0.0738461538461539,0.03488372093023255,-0.06294872757901321,0.629999999999999,-0.07916236844948463
2026-04-22,0.49261436837053924,0.08139534883720931,0.13953488372093023,86,-0.05813953488372092,18.92,21.24,98.73,0.042237876295327714,-0.07822410147991543,-0.046511627906976744,0.08797391813091099,-0.5799999999999983,-0.10727161626124371
2026-04-23,0.6639290759290908,0.11627906976744186,0.13953488372093023,86,-0.023255813953488372,19.31,21.48,98.57,0.04837320911849807,-0.13205592957017076,0.03488372093023255,0.17131470755855155,0.389999999999997,-0.08476190953296787
2026-04-24,0.36620743080087453,0.10465116279069768,0.16279069767441862,86,-0.058139534883720936,18.71,21.3,97.18,0.04440149032131546,-0.10742918225547848,-0.034883720930232565,-0.29772164512821625,-0.5999999999999979,-0.10060868553711312
2026-04-27,0.23226862174784962,0.08139534883720931,0.1511627906976744,86,-0.0697674418604651,18.02,20.77,93.86,0.049526685962778094,-0.05604883462819077,-0.011627906976744165,-0.1339388090530249,-0.6900000000000013,-0.09034410584885685
2026-04-28,0.40104308474937106,0.09302325581395349,0.1511627906976744,86,-0.05813953488372092,17.83,20.49,91.03,0.05447596565920554,-0.0863712843522153,0.011627906976744179,0.16877446300152144,-0.19000000000000128,-0.07268783297885173
2026-04-29,0.35875388815506953,0.12790697674418605,0.1511627906976744,86,-0.023255813953488358,18.81,21.19,96.02,0.060457011158267404,-0.16321105794790003,0.034883720930232565,-0.042289196594301526,0.9800000000000004,-0.06889778876122837
2026-04-30,0.32097066200365904,0.12790697674418605,0.13953488372093023,86,-0.011627906976744179,16.89,20.08,93.7,0.05262572009016786,-0.09295441089402012,0.011627906976744179,-0.0377832261514105,-1.9199999999999982,0.0036483419789950233
2026-05-01,0.20862402012008943,0.08139534883720931,0.1511627906976744,86,-0.0697674418604651,16.99,20.37,95.17,0.05257753417054056,-0.055326662742789745,-0.05813953488372092,-0.1123466418835696,0.09999999999999787,-0.05766401705907373
2026-05-04,0.1702698606118589,0.13953488372093023,0.13953488372093023,86,0.0,18.29,21.05,98.29,0.057882202197740984,-0.1377802077638054,0.0697674418604651,-0.03835415950823054,1.3000000000000007,-0.029143289205131095
