bucket,ticker,n,sep_naive,sep_nonoverlap,eff_n,t_stat
single_name/RICH/PANIC,NOV,1,0.040821738425757446,0.040821738425757446,1,
single_name/RICH/PANIC,RIOT,46,0.04683625994418219,-0.008110836588751787,4,-0.3781098658196995
single_name/RICH/PANIC,MRVL,11,0.054792981254411836,0.04163372613317425,3,0.3178612854100197
single_name/RICH/PANIC,IREN,49,0.055760208297223654,0.021926249335136518,4,0.2177299047622586
single_name/RICH/PANIC,XOM,7,0.057899989791024335,0.022588426999476708,1,
single_name/RICH/PANIC,TXN,29,0.062070756869462736,0.05051773299621487,3,0.5719967117106179
single_name/RICH/PANIC,AMD,25,0.06474539043017324,0.028682023878969377,2,0.3780009622073755
single_name/RICH/PANIC,WMT,7,0.06542095220388312,0.051139204008633476,2,0.8584737479236726
single_name/RICH/PANIC,ANET,28,0.06561564816386097,0.05772723369569901,3,1.5179850007562286
single_name/RICH/PANIC,UNH,18,0.07160379837323975,-0.008141491072322751,3,-0.1310348851128142
single_name/RICH/PANIC,MU,19,0.07596837934647188,0.030435737600789103,2,0.1948753125490412
single_name/RICH/PANIC,NBIS,18,0.0965150638565196,0.12175098246880534,3,1.8471394449368868
single_name/RICH/PANIC,TER,23,0.09773994838076124,0.030498436532857803,3,0.8196891590863232
single_name/RICH/PANIC,CRDO,54,0.1298699185124926,0.04767048150277051,6,0.4153329160311379
single_name/RICH/PANIC,COHR,6,0.15302304352389576,0.2576870424821271,2,2.9607801308682196
single_name/RICH/PANIC,HUT,24,0.15846317791746037,0.07907056759216115,3,0.4917795386098011
single_name/RICH/PANIC,ARM,9,0.18618263712593333,0.2105197250702371,2,46.218966806398434
single_name/RICH/PANIC,GLW,4,0.2237306178174882,0.21093833024815506,2,1.0193807007163194
single_name/RICH/PANIC,QCOM,4,0.2408387864190652,0.11275831557415801,2,0.6132116384161571
single_name/RICH/PANIC,PL,24,0.3385977580104296,0.243636380158465,3,1.113957753371791
single_name/RICH/PANIC,FLY,8,0.39199514363232535,0.038907905146911566,1,
single_name/RICH/PANIC,LITE,10,0.4075117574283967,0.16791336223269618,3,0.7325023745385556
single_name/RICH/PANIC,BE,13,0.5206396200853851,0.26014959183026426,3,1.0249548301177698
single_name/RICH/PANIC,AAOI,3,0.5613771844767128,0.3679842655784182,1,
