pricing,delta,dte,fee,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar5,worst_month,win_rate,breach_rate,mean_credit,n_trades
flat,0.2,21,0.015,0.03456606124733019,0.0686887326570574,-0.05327932673725969,-0.19002061259857828,0.18190690354394118,-0.01009012575199797,-0.10622934707136689,0.8903036238981391,0.12732615083251714,1.6595130145018955,1021
flat,0.2,30,0.0,0.04901850021482712,0.06895382037511998,0.14834848553048544,-0.20806574475757,0.23559140055438507,-0.010022645446197725,-0.10085092641766968,0.8969578017664377,0.1197252208047105,1.9888555514646644,1019
flat,0.2,30,0.005,0.0437864468419491,0.06895245224376333,0.07582323823248786,-0.20963550064358472,0.2088694267312737,-0.010042287854026128,-0.10126116284095388,0.8969578017664377,0.1197252208047105,1.9888555514646644,1019
flat,0.2,30,0.01,0.038580385664476635,0.06895108411240668,0.003295112833864456,-0.21120217604589875,0.1826703985099675,-0.010061930261854639,-0.1016712202283121,0.8969578017664377,0.1197252208047105,1.9888555514646644,1019
flat,0.2,30,0.015,0.03340018806834966,0.06894971598105004,-0.069235890835885,-0.21276577694868648,0.15698101709470366,-0.01008157266968305,-0.10208109865432469,0.8969578017664377,0.1197252208047105,1.9888555514646644,1019
flat,0.2,42,0.0,0.048121144285485196,0.07680275024023216,0.1295283776341555,-0.23886746913917178,0.20145541148363022,-0.011236566037881925,-0.10933893797003302,0.8928220255653884,0.12586037364798427,2.357907449506021,1017
flat,0.2,42,0.005,0.042893566538264816,0.07680122637614008,0.06441491673326685,-0.24064741895268238,0.17824237103784946,-0.0112561843599843,-0.10974530174127095,0.8928220255653884,0.12586037364798427,2.357907449506021,1017
flat,0.2,42,0.01,0.03769195875209652,0.07679970251204804,-0.0007011281380073499,-0.24242324145046334,0.1554799718318199,-0.011275802682086791,-0.11015148816669051,0.8928220255653884,0.12586037364798427,2.357907449506021,1017
flat,0.2,42,0.015,0.03251619242293713,0.07679817864795592,-0.06581975713276896,-0.24419494612122994,0.1331566968908298,-0.011295421004189166,-0.11055749732016851,0.8928220255653884,0.12586037364798427,2.357907449506021,1017
flat,0.2,63,0.0,0.04870474685597648,0.0752961322063911,0.13795268379025258,-0.23214209445973377,0.209805752676297,-0.010865647571523834,-0.09020084393158823,0.9051383399209486,0.1225296442687747,2.8873532067641956,1012
flat,0.2,63,0.005,0.043474258349989636,0.07529463823551401,0.0715363523226641,-0.23304045871953594,0.1865524063455045,-0.010885273253119592,-0.09061593945096214,0.9051383399209486,0.1225296442687747,2.8873532067641956,1012
flat,0.2,63,0.01,0.0382697542653434,0.07529314426463683,0.005117385181397504,-0.23393778972160506,0.16358944961772048,-0.010904898934715447,-0.0910308538137955,0.9051383399209486,0.1225296442687747,2.8873532067641956,1012
flat,0.2,63,0.015,0.03309110602644405,0.07529165029375975,-0.061304217789684944,-0.23483408863387067,0.14091270232081307,-0.010924524616311212,-0.09144558709555373,0.9051383399209486,0.1225296442687747,2.8873532067641956,1012
