ticker,asset_class,market_date,expiry,strike,horizon,gap,d_iv,d_s,pnl_vega,pnl_delta,pnl_theta,gross,vega,harvest_vp,breakeven_spread_vp
SNDK,single_name,2026-03-11,2027-06-17,1020.0,40,0.1929,0.1268,684.53,37.2215,363.8231,-16.4007,384.6439,2.93547365625782,12.6799,12.6799
SNDK,single_name,2026-03-12,2027-06-17,1020.0,20,0.13629,0.08742,232.95,24.2374,119.0181,-7.9526,135.3029,2.77261636484317,8.7417,8.7417
SNDK,single_name,2026-03-12,2027-06-17,1020.0,40,0.13629,0.16411,943.52,45.5019,482.0603,-15.6309,511.9313,2.77261636484317,16.4112,16.4112
SNDK,single_name,2026-03-13,2027-06-17,1020.0,20,0.11581,0.10032,290.88,29.5685,158.7528,-9.2728,179.0485,2.9473462623998,10.0323,10.0323
SNDK,single_name,2026-03-13,2027-06-17,1020.0,40,0.11581,0.15764,885.94,46.4609,483.5171,-17.6482,512.3298,2.9473462623998,15.7637,15.7637
SNDK,single_name,2026-03-25,2027-06-17,1140.0,20,0.1125,0.03901,254.57,11.6607,131.5523,-9.2632,133.9497,2.98948828854808,3.9006,3.9006
SNDK,single_name,2026-03-25,2027-06-17,1140.0,40,0.1125,0.08276,864.38,24.7397,446.6793,-18.2071,453.2119,2.98948828854808,8.2756,8.2756
SNDK,single_name,2026-03-26,2027-06-17,1090.0,20,0.1182,0.02912,386.73,7.7537,193.9197,-8.4935,193.18,2.66295789033381,2.9117,2.9117
SNDK,single_name,2026-03-26,2027-06-17,1090.0,40,0.1182,0.05511,875.52,14.6751,439.0159,-16.6941,436.9968,2.66295789033381,5.5108,5.5108
SNDK,single_name,2026-03-27,2027-06-17,1110.0,20,0.12107,0.043,454.37,11.6957,227.3133,-9.248,229.761,2.72008661095856,4.2998,4.2998
SNDK,single_name,2026-03-27,2027-06-17,1110.0,40,0.12107,0.10617,973.72,28.8792,487.135,-17.8993,498.1148,2.72008661095856,10.617,10.617
SNDK,single_name,2026-03-30,2027-06-17,1020.0,20,0.13775,0.05327,429.85,13.4075,215.5249,-8.0363,220.8961,2.51712359599857,5.3265,5.3265
SNDK,single_name,2026-03-30,2027-06-17,1020.0,40,0.13775,0.11978,1017.44,30.1502,510.1399,-16.0726,524.2175,2.51712359599857,11.9781,11.9781
SNDK,single_name,2026-04-01,2027-06-17,1140.0,20,0.1059,0.02172,403.78,6.572,217.5431,-9.9204,214.1948,3.02538879049996,2.1723,2.1723
SNDK,single_name,2026-04-01,2027-06-17,1140.0,40,0.1059,0.09988,1002.25,30.2173,539.9787,-19.8408,550.3553,3.02538879049996,9.9879,9.9879
META,single_name,2026-04-08,2027-06-17,680.0,20,0.10088,-0.02085,0.46,-5.5615,0.2324,-3.7007,-9.0297,2.66702118037748,-2.0853,2.0853
META,single_name,2026-04-08,2027-06-17,680.0,40,0.10088,-0.00256,15.15,-0.6819,7.6553,-7.5336,-0.5602,2.66702118037748,-0.2557,0.2557
META,single_name,2026-04-09,2027-06-17,700.0,20,0.11201,-0.02086,-11.58,-5.7039,-5.8109,-3.7868,-15.3015,2.73446085969709,-2.0859,2.0859
META,single_name,2026-04-09,2027-06-17,700.0,40,0.11201,0.0019,-1.18,0.5192,-0.5921,-7.7089,-7.7818,2.73446085969709,0.1899,0.1899
META,single_name,2026-04-10,2027-06-17,700.0,20,0.11125,-0.01711,-20.23,-4.6809,-10.1177,-3.7388,-18.5373,2.73585722443533,-1.7109,1.7109
META,single_name,2026-04-10,2027-06-17,700.0,40,0.11125,0.00847,-42.06,2.3167,-21.0357,-7.8781,-26.5971,2.73585722443533,0.8468,0.8468
META,single_name,2026-04-14,2027-06-17,740.0,20,0.10879,-0.01865,-59.49,-5.342,-29.4134,-3.9376,-38.693,2.86464284903675,-1.8648,1.8648
META,single_name,2026-04-14,2027-06-17,740.0,40,0.10879,0.00497,-91.51,1.4249,-45.2449,-8.0158,-51.8358,2.86464284903675,0.4974,0.4974
META,single_name,2026-04-15,2027-06-17,740.0,20,0.10996,-0.01455,-54.95,-4.2196,-27.8253,-3.9996,-36.0445,2.90091017402466,-1.4546,1.4546
META,single_name,2026-04-15,2027-06-17,740.0,40,0.10996,0.00756,-110.2099,2.1929,-55.8076,-8.142,-61.7566,2.90091017402466,0.7559,0.7559
META,single_name,2026-04-16,2027-06-17,760.0,20,0.10834,-0.01153,-58.44,-3.3677,-28.5561,-4.0039,-35.9277,2.92123641565471,-1.1528,1.1528
META,single_name,2026-04-16,2027-06-17,760.0,40,0.10834,0.01213,-109.89,3.544,-53.6965,-8.1507,-58.3033,2.92123641565471,1.2132,1.2132
META,single_name,2026-04-17,2027-06-17,760.0,20,0.10732,-0.01032,-74.32,-3.0632,-37.4058,-4.074,-44.543,2.96934293269025,-1.0316,1.0316
META,single_name,2026-04-17,2027-06-17,760.0,40,0.10732,0.0092,-95.07,2.7304,-47.8494,-8.5845,-53.7035,2.96934293269025,0.9195,0.9195
META,single_name,2026-04-20,2027-06-17,740.0,20,0.10928,-0.01284,-59.7,-3.6986,-30.0264,-3.9909,-37.7159,2.88031953392469,-1.2841,1.2841
META,single_name,2026-04-20,2027-06-17,740.0,40,0.10928,0.01008,-70.7,2.9039,-35.5589,-8.1244,-40.7794,2.88031953392469,1.0082,1.0082
META,single_name,2026-04-21,2027-06-17,740.0,20,0.10677,-0.01277,-66.23,-3.6653,-33.1811,-3.9992,-40.8457,2.86924002121624,-1.2775,1.2775
META,single_name,2026-04-21,2027-06-17,740.0,40,0.10677,0.01508,-101.26,4.3279,-50.7311,-8.1413,-54.5446,2.86924002121624,1.5084,1.5084
META,single_name,2026-04-23,2027-06-17,740.0,20,0.10846,-0.01703,-51.77,-4.8026,-25.25,-3.95,-34.0026,2.81968266730528,-1.7032,1.7032
META,single_name,2026-04-23,2027-06-17,740.0,40,0.10846,0.01548,-95.3,4.3643,-46.481,-8.4643,-50.581,2.81968266730528,1.5478,1.5478
AMD,single_name,2025-12-26,2027-01-15,250.0,20,0.18759,0.04165,37.04,3.6669,18.9599,-2.0653,20.5615,0.880357645850789,4.1652,4.1652
AMD,single_name,2025-12-26,2027-01-15,250.0,40,0.18759,0.03014,-4.13,2.6536,-2.1141,-3.937,-3.3974,0.880357645850789,3.0143,3.0143
AMD,single_name,2025-12-29,2027-01-15,250.0,20,0.18333,0.04052,37.13,3.5632,19.0726,-1.9551,20.6807,0.879323606773036,4.0522,4.0522
AMD,single_name,2025-12-29,2027-01-15,250.0,40,0.18333,0.01805,-11.93,1.5873,-6.1281,-3.845,-8.3858,0.879323606773036,1.8052,1.8052
AMD,single_name,2025-12-30,2027-01-15,250.0,20,0.18193,0.03312,36.84,2.9065,18.8603,-1.9489,19.8178,0.877499106910644,3.3122,3.3122
AMD,single_name,2025-12-30,2027-01-15,250.0,40,0.18193,0.02144,-15.13,1.8812,-7.7458,-3.8328,-9.6974,0.877499106910644,2.1438,2.1438
AMD,single_name,2026-02-04,2027-06-17,260.0,20,0.25168,-0.0147,-0.74,-1.3725,-0.3655,-1.6435,-3.3815,0.933699884060824,-1.47,1.47
AMD,single_name,2026-02-04,2027-06-17,260.0,40,0.25168,-0.00507,17.31,-0.4732,8.5496,-3.2303,4.8461,0.933699884060824,-0.5068,0.5068
AMD,single_name,2026-02-05,2027-06-17,250.0,20,0.2628,0.00656,-0.07,0.5873,-0.0344,-1.5688,-1.0159,0.895489517379095,0.6559,0.6559
AMD,single_name,2026-02-05,2027-06-17,250.0,40,0.2628,0.00437,27.68,0.3914,13.5877,-3.2459,10.7332,0.895489517379095,0.4371,0.4371
AMD,single_name,2026-02-06,2027-06-17,270.0,20,0.30668,-0.00521,-5.76,-0.5051,-2.8423,-1.8253,-5.1727,0.96958545450199,-0.5209,0.5209
AMD,single_name,2026-02-06,2027-06-17,270.0,40,0.30668,-0.00401,13.09,-0.3889,6.4593,-3.5328,2.5376,0.96958545450199,-0.4011,0.4011
AMD,single_name,2026-02-09,2027-03-19,260.0,20,0.31946,-0.00678,-12.77,-0.6139,-6.4912,-1.9518,-9.0568,0.905343806274113,-0.6781,0.6781
AMD,single_name,2026-02-09,2027-03-19,260.0,40,0.31946,-0.00883,15.82,-0.7992,8.0415,-3.9035,3.3388,0.905343806274113,-0.8827,0.8827
AMD,single_name,2026-02-10,2027-03-19,260.0,20,0.32265,-0.00622,-8.74,-0.5567,-4.3565,-1.9131,-6.8263,0.894571004377763,-0.6223,0.6223
AMD,single_name,2026-02-10,2027-03-19,260.0,40,0.32265,0.00292,23.07,0.2608,11.4993,-3.8263,7.9338,0.894571004377763,0.2915,0.2915
AMD,single_name,2026-02-11,2027-03-19,260.0,20,0.28464,-0.01583,-15.84,-1.4141,-7.9564,-1.9474,-11.3179,0.893533034371909,-1.5826,1.5826
