ticker,asset_class,market_date,expiry,strike,dte,hv20,hv60,atm_iv,entry_iv_fixed,gap,horizon,iv_fwd,fwd_ret,d_iv,entry_idx
GOOGL,single_name,2026-03-04,2027-03-19,330,380,0.23855207745677404,0.2233162538345048,0.3961873036591869,0.395846517490157,-0.15764,20,0.382751769670426,-0.01894,-0.01309,45
GOOGL,single_name,2026-03-04,2027-03-19,330,380,0.23855207745677404,0.2233162538345048,0.3961873036591869,0.395846517490157,-0.15764,40,0.419155880518745,0.26942,0.02331,45
GOOGL,single_name,2026-03-05,2027-03-19,325,379,0.23280245108402545,0.22225826082610764,0.39851071699262347,0.39917119711745,-0.16571,20,0.386335799003416,-0.01698,-0.01284,46
GOOGL,single_name,2026-03-05,2027-03-19,325,379,0.23280245108402545,0.22225826082610764,0.39851071699262347,0.39917119711745,-0.16571,40,0.430709088880473,0.28187,0.03154,46
GOOGL,single_name,2026-03-06,2027-03-19,325,378,0.2330136455922907,0.2176661548835225,0.4001876340871656,0.399905404348188,-0.16717,20,0.388234327346018,0.00492,-0.01167,47
GOOGL,single_name,2026-03-06,2027-03-19,325,378,0.2330136455922907,0.2176661548835225,0.4001876340871656,0.399905404348188,-0.16717,40,0.425595516515067,0.28383,0.02569,47
GOOGL,single_name,2026-03-09,2027-03-19,330,375,0.24460677396537592,0.22328377236260477,0.39681913357569926,0.397620731311468,-0.15221,20,0.388773444078189,-0.00294,-0.00885,48
GOOGL,single_name,2026-03-09,2027-03-19,330,375,0.24460677396537592,0.22328377236260477,0.39681913357569926,0.397620731311468,-0.15221,40,0.429358411095625,0.26789,0.03174,48
GOOGL,single_name,2026-03-10,2027-06-17,340,464,0.2438534846900855,0.22231318515061244,0.4030282643241197,0.403172913582183,-0.15917,20,0.39997191746789,0.03348,-0.0032,49
GOOGL,single_name,2026-03-10,2027-06-17,340,464,0.2438534846900855,0.22231318515061244,0.4030282643241197,0.403172913582183,-0.15917,40,0.43631487486131,0.29638,0.03314,49
GOOGL,single_name,2026-03-11,2027-06-17,340,463,0.23864347547948347,0.21697601447459441,0.3996900619435389,0.400233029223477,-0.16105,20,0.400380946306302,0.03171,0.00015,50
GOOGL,single_name,2026-03-11,2027-06-17,340,463,0.23864347547948347,0.21697601447459441,0.3996900619435389,0.400233029223477,-0.16105,40,0.435911516145575,0.28925,0.03568,50
