sector,deviation_class,verdict,mean_realized_vrp,mean_holdout,rich_cheap_spread,n,n_holdout,survives_walkforward,survives_window_gate,confidence,as_of,inserted_at
Quantum,NORMAL,HARVEST_SELLABLE,0.0677243519416951,0.094829313376452,0.32150445954979,119,48,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Quantum,RICH,HARVEST_SELLABLE,0.201900136659258,0.201450070600184,0.32150445954979,72,29,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Semi-Logic/ASIC,CHEAP,NONE,-0.0435782402676105,-0.100148002864298,0.142529200598993,38,15,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Semi-Logic/ASIC,NORMAL,HARVEST_SELLABLE,0.0394654556866519,0.0330801624226519,0.142529200598993,74,30,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Semi-Logic/ASIC,RICH,HARVEST_SELLABLE,0.0989509603313827,0.0543883292162935,0.142529200598993,23,9,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Data-Platform,RICH,HARVEST_SELLABLE,0.0430771581286598,0.121546336049853,0.236315806954511,35,14,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Data-Platform,NORMAL,NONE,-0.0238067718165024,0.0679001584349446,0.236315806954511,83,33,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Memory/Storage,RICH,HARVEST_SELLABLE,0.109658227327845,0.178516396178439,0.133889306607738,44,18,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Memory/Storage,NORMAL,HARVEST_SELLABLE,0.0814793197138748,0.0911726906979105,0.133889306607738,55,22,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Memory/Storage,CHEAP,NONE,-0.0242310792798935,-0.0551587128497141,0.133889306607738,41,16,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Healthcare-AI/LS-Tools,NORMAL,NONE,0.0454227970631228,-0.0665533833071801,0.291157199787919,61,24,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Healthcare-AI/LS-Tools,CHEAP,NONE,-0.100621672135877,-0.29118423113891,0.291157199787919,47,19,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Healthcare-AI/LS-Tools,RICH,HARVEST_SELLABLE,0.190535527652042,0.136624034765267,0.291157199787919,29,12,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
