ticker,market_date,expiry,dte,n_strikes,a,b,rho,m,sigma,rmse_volpts,min_butterfly_g,liquid,calendar_viol_on_date
NVDA,2026-05-21,2026-05-27,6,16,1.000000000000904e-08,0.02572207005088522,-0.27802389668772526,-0.03311648015311816,0.08090128031614668,0.2105,0.548799,True,0
NVDA,2026-05-21,2026-06-18,28,58,0.008607399809847805,0.041783264834295175,-0.617754777935891,-0.10071727104432719,0.08107076029369044,0.3682,0.371096,True,0
NVDA,2026-05-21,2026-08-21,92,36,0.0349428097235151,0.0650060095198516,-0.6045593789605651,-0.16779921463597314,0.09143384233210841,0.6909,0.373048,True,0
NVDA,2026-06-11,2026-06-18,7,52,1.0604047609819334e-08,0.0370557207448747,-0.5151039141802222,-0.06362819733725135,0.1040779103866986,0.2857,0.25404,True,0
NVDA,2026-06-11,2026-07-10,29,21,0.0040248471174876,0.06754202974561282,-0.6057364166597219,-0.1347113358728443,0.15714564002023948,0.5755,0.205778,True,0
NVDA,2026-06-11,2026-09-18,99,40,0.04254607375226749,0.0735714077714867,-0.5351472934700681,-0.16768384658671714,0.11213734351572975,0.9248,0.380687,True,0
NVDA,2026-07-02,2026-07-08,6,14,1.0000000602256895e-08,0.026347807012136258,-0.6463280280388186,-0.04849289477357685,0.08725331482361337,0.2869,0.319557,True,0
NVDA,2026-07-02,2026-07-31,29,18,0.006310174603652979,0.048800635220493827,-0.6905114422796708,-0.10539437677902463,0.152868716645736,0.4501,0.348579,True,0
NVDA,2026-07-02,2026-09-18,78,31,0.03477229402248673,0.04721360417132721,-0.6980647655208428,-0.12304610528845006,0.06264086527083777,0.7651,0.489458,True,0
AAPL,2025-12-26,2026-01-02,7,11,2.861247812864493e-07,0.01138749624054272,-0.6425805524768408,-0.031396324620904095,0.04170669370855276,0.2179,0.243512,True,0
AAPL,2025-12-26,2026-01-23,28,15,0.0008827425391053353,0.022948900836062436,-0.6780805923037803,-0.06120895929421566,0.0871480673833305,0.4038,0.213553,True,0
AAPL,2025-12-26,2026-03-20,84,29,0.009919915101894647,0.03521624872986075,-0.875080806240355,-0.08259657630389351,0.07302775834497732,0.6106,0.307817,True,0
AAPL,2026-01-16,2026-01-23,7,12,8.101570208166795e-05,0.012572067197945383,-0.5305871629647083,-0.029672574758514366,0.05786224120635383,0.2207,0.448321,True,0
AAPL,2026-01-16,2026-02-13,28,15,1.2596682381429729e-08,0.029158252911979685,-0.5093195484091687,-0.06064031228382535,0.20766141370634447,0.275,0.520297,True,0
AAPL,2026-01-16,2026-04-17,91,30,0.014609778779764958,0.03210674393910133,-0.9786142192897825,-0.09228342782217978,0.053586289106766785,0.6001,0.367682,True,0
AAPL,2026-02-06,2026-02-13,7,14,3.8235276593825543e-08,0.015287889991976675,-0.3816232561943623,0.0018150094642398113,0.06950042720040484,0.2055,0.493066,True,0
AAPL,2026-02-06,2026-03-06,28,16,0.002640736229793286,0.033368151974972504,-0.9820328565836874,-0.07903766428703975,0.09633938758898339,0.2452,0.226484,True,0
AAPL,2026-02-06,2026-05-15,98,32,0.014884804818807709,0.047278336068899016,-0.9989999999999993,-0.08578295457507669,0.09817789174988986,0.6067,0.304798,True,0
AAPL,2026-03-02,2026-03-09,7,19,0.0006718865349091496,0.018887919412385837,-0.998999998360618,-0.04026079629308325,0.06643921292491055,0.2152,0.208141,True,0
AAPL,2026-03-02,2026-04-02,31,21,0.004514966475256524,0.030432340010972125,-0.9989999999999989,-0.03771734948938731,0.07866474567413839,0.4158,0.285645,True,0
AAPL,2026-03-02,2026-05-15,74,31,0.012239330108631116,0.04814566348006835,-0.9989999999845395,-0.06833071007014267,0.1278274345105998,0.606,0.295056,True,0
AAPL,2026-03-20,2026-03-27,7,15,1.1371052891895236e-08,0.017019625251249247,-0.4818397147073426,0.010168711716360447,0.07958255501179863,0.1994,0.456507,True,0
AAPL,2026-03-20,2026-04-17,28,15,0.0029393106440490065,0.030039098360800917,-0.9989999998624266,-0.020317181048003837,0.11026824351260868,0.4111,0.35945,True,0
AAPL,2026-03-20,2026-06-18,90,30,0.014267931336177615,0.05166299752168821,-0.9989999999993793,-0.033653309125600786,0.162174998348307,0.6343,0.347286,True,0
AAPL,2026-04-10,2026-04-17,7,13,1.0000045929358094e-08,0.017765681045093382,-0.5391504325946271,-0.016531055682755313,0.06110932738476234,0.1939,0.375174,True,0
AAPL,2026-04-10,2026-05-08,28,16,0.004604824374061416,0.023562821795136704,-0.9989999999999503,-0.029222464469815662,0.07795834747555778,0.284,0.406306,True,0
AAPL,2026-04-10,2026-07-17,98,33,0.014333036939966685,0.0452796939394611,-0.9989999999999997,-0.06794986502941294,0.11892238621953292,0.6365,0.314797,True,0
AAPL,2026-04-30,2026-05-06,6,24,0.0023161630196137724,0.015626213388115654,-0.5539056338840324,-0.04089878595245349,0.059979791472506636,0.2938,0.515767,True,0
AAPL,2026-04-30,2026-05-29,29,19,0.0044445023538697784,0.03303399165790773,-0.6912355611310983,-0.06426198794484603,0.08584460663489818,0.2719,0.329765,True,0
AAPL,2026-04-30,2026-07-17,78,30,0.01416217185979894,0.038326791750911124,-0.9279896659996434,-0.08387891304755947,0.03786742992078829,0.5626,0.336872,True,0
AAPL,2026-05-21,2026-05-27,6,12,0.00024836979945857873,0.010909622610087008,-0.756337894860866,-0.02260495175377081,0.032430216712455405,0.1506,0.289194,True,0
AAPL,2026-05-21,2026-06-18,28,27,0.003042504542814291,0.026908649866348992,-0.8383015390483285,-0.05856782923642418,0.05332652019974798,0.4125,0.253598,True,0
AAPL,2026-05-21,2026-08-21,92,32,0.01339786282311054,0.04386916054672253,-0.8496686693683659,-0.09685384763989172,0.05724730986999509,0.6778,0.294649,True,0
AAPL,2026-06-11,2026-06-18,7,21,1.2867410448809556e-08,0.024663485644792257,-0.6117258925861342,-0.04812321643783502,0.06464109245783398,0.3426,0.183536,True,0
AAPL,2026-06-11,2026-07-10,29,21,0.0019155064984610391,0.03684723291255172,-0.7203510943305298,-0.08082332809129097,0.09055425507957066,0.5523,0.160592,True,0
AAPL,2026-06-11,2026-09-18,99,36,0.01685361642748358,0.05229427811249482,-0.8544893383392567,-0.1175195981516761,0.06383464920294515,0.819,0.269439,True,0
AAPL,2026-07-02,2026-07-08,6,16,0.000405482002122905,0.014198233188340393,-0.576127823860192,-0.03583988628301884,0.045553723068750135,0.2531,0.38921,True,0
AAPL,2026-07-02,2026-07-31,29,20,0.006217238089344243,0.02600286845640456,-0.9473481726846671,-0.08001538160393273,0.03853715504799669,0.4207,0.328619,True,0
AAPL,2026-07-02,2026-09-18,78,36,0.013638326251615214,0.051634992883259866,-0.9131718256153495,-0.13868402866880034,0.08142070421006904,0.6918,0.216225,True,0
TSLA,2025-12-26,2026-01-02,7,41,1.0000001069403026e-08,0.02965874533474204,-0.3056498799908513,-0.049550014636384046,0.09128657849974368,0.2888,0.467646,True,0
TSLA,2025-12-26,2026-01-23,28,52,3.904820752839317e-05,0.07957264922851065,-0.4108139859935368,-0.11955184303979276,0.1730226000891887,0.4716,0.207576,True,0
