spread_vp,n_trades,n_months,sharpe,maxdd,annror,mean_ret,hit_rate,mean_net_dollars,median_net_dollars,mean_gross_dollars,mean_ivonly_dollars,mean_capital,mean_holdout_ret,n_holdout,survives_walkforward,survives_quarter_gate,variant,threshold,horizon,breakeven_spread_vp_dollars,breakeven_spread_vp_sharpe0,breakeven_spread_vp_sharpe1
0.5,2544,8,-6.1105997124559455,-3.2482707601621197,-4.734530101055333,-0.46196319129106156,0.21540880503144655,-116.73199742873473,-101.62274646610373,-28.973988541291913,-25.866482906637618,491.8946540880503,-0.41899857136457996,1018,True,True,naive,1.5,5,,,
0.0,1379,9,-2.7341559121875143,-0.4845450752387751,-0.6460601003183667,-0.03238046682186082,0.43364757070340826,-17.98954853071789,-3.070500022709075,-15.389548530717885,-25.01884129602699,575.4749818709209,-0.039665994076398266,552,True,True,naive,2.0,1,,,
0.02,1379,9,-3.49945550801789,-0.5915847788950139,-0.788779705193352,-0.046185268850234655,0.39231327048585934,-21.58873351699965,-7.133820559825077,-15.389548530717885,-25.01884129602699,575.4749818709209,-0.04778597925553893,552,True,True,naive,2.0,1,,,
0.05,1379,9,-4.752155617175649,-0.7521443343793724,-1.00285911250583,-0.06689247189279539,0.34300217548948514,-26.987510996422273,-12.812438364209495,-15.389548530717885,-25.01884129602699,575.4749818709209,-0.05996595702424992,552,True,True,naive,2.0,1,,,
0.1,1379,9,-7.0235164794808735,-1.0197435935199697,-1.359658124693293,-0.10140447696372999,0.29731689630166785,-35.98547346212667,-21.75368569926099,-15.389548530717885,-25.01884129602699,575.4749818709209,-0.08026591997210157,552,True,True,naive,2.0,1,,,
0.15,1379,9,-9.22011385130439,-1.287342852660567,-1.7164571368807557,-0.13591648203466453,0.2632342277012328,-44.98343592783105,-31.176601868180036,-15.389548530717885,-25.01884129602699,575.4749818709209,-0.10056588291995322,552,True,True,naive,2.0,1,,,
0.2,1379,9,-10.915042157023,-1.5549421118011644,-2.073256149068219,-0.17042848710559913,0.24147933284989123,-53.98139839353544,-39.939883879818765,-15.389548530717885,-25.01884129602699,575.4749818709209,-0.12086584586780488,552,True,True,naive,2.0,1,,,
0.3,1379,9,-12.263214596599218,-2.090140630082359,-2.786854173443145,-0.23945249724746828,0.20667150108774474,-71.97732332494422,-55.85739477090903,-15.389548530717885,-25.01884129602699,575.4749818709209,-0.16146577176350815,552,True,True,naive,2.0,1,,,
0.4,1379,9,-12.06546312403511,-2.6253391483635538,-3.5004521978180714,-0.30847650738933746,0.1754894851341552,-89.97324825635299,-73.48942741597816,-15.389548530717885,-25.01884129602699,575.4749818709209,-0.20206569765921148,552,True,True,naive,2.0,1,,,
0.5,1379,9,-11.526592282126526,-3.1605376666447476,-4.214050222192997,-0.3775005175312065,0.16171138506163887,-107.96917318776178,-88.65121188228169,-15.389548530717885,-25.01884129602699,575.4749818709209,-0.24266562355491478,552,True,True,naive,2.0,1,,,
