config,year,total_return,sharpe,days
lt_mom_3_21d,2020,-0.0619,-0.26,253
lt_mom_3_21d,2021,-0.0335,-0.36,252
lt_mom_3_21d,2022,-0.0258,-0.16,251
lt_mom_3_21d,2023,-0.0572,-0.82,250
lt_mom_3_21d,2024,0.0666,0.96,252
lt_mom_3_21d,2025,-0.0138,-0.06,250
lt_mom_3_21d,2026,0.0585,0.96,125
lt_mom_6_21d,1997,-0.1591,-3.23,253
lt_mom_6_21d,1998,-0.1472,-2.4,252
lt_mom_6_21d,1999,0.0102,0.17,252
lt_mom_6_21d,2000,0.0232,0.22,252
lt_mom_6_21d,2001,-0.216,-1.66,248
lt_mom_6_21d,2002,-0.1915,-1.39,252
lt_mom_6_21d,2003,-0.1074,-0.43,252
lt_mom_6_21d,2004,-0.0801,-1.73,252
lt_mom_6_21d,2005,-0.0303,-0.78,253
lt_mom_6_21d,2006,-0.0694,-1.39,251
lt_mom_6_21d,2007,0.1124,1.93,251
lt_mom_6_21d,2008,-0.1563,-1.11,253
lt_mom_6_21d,2009,-0.3238,-2.26,252
lt_mom_6_21d,2010,-0.0056,-0.1,252
lt_mom_6_21d,2011,-0.041,-0.44,252
lt_mom_6_21d,2012,-0.0597,-1.23,250
lt_mom_6_21d,2013,0.0907,2.11,252
lt_mom_6_21d,2014,-0.0384,-0.83,252
lt_mom_6_21d,2015,0.0648,1.09,252
lt_mom_6_21d,2016,-0.0442,-0.58,252
lt_mom_6_21d,2017,0.0231,0.44,251
lt_mom_6_21d,2018,0.0421,0.67,251
lt_mom_6_21d,2019,-0.0814,-1.3,252
lt_mom_6_21d,2020,-0.0209,-0.02,253
lt_mom_6_21d,2021,-0.0587,-0.62,252
lt_mom_6_21d,2022,-0.0085,-0.0,251
lt_mom_6_21d,2023,-0.0042,-0.02,250
lt_mom_6_21d,2024,0.064,0.8,252
lt_mom_6_21d,2025,-0.0427,-0.36,250
lt_mom_6_21d,2026,0.0811,1.17,125
lt_mom_12_1_21d,1997,-0.1172,-2.57,253
lt_mom_12_1_21d,1998,-0.0727,-1.25,252
lt_mom_12_1_21d,1999,0.0176,0.25,252
lt_mom_12_1_21d,2000,-0.0494,-0.28,252
lt_mom_12_1_21d,2001,-0.1442,-0.84,248
lt_mom_12_1_21d,2002,-0.0607,-0.35,252
lt_mom_12_1_21d,2003,-0.3092,-1.62,252
lt_mom_12_1_21d,2004,-0.0601,-1.13,252
lt_mom_12_1_21d,2005,-0.0083,-0.2,253
lt_mom_12_1_21d,2006,-0.0436,-0.83,251
lt_mom_12_1_21d,2007,0.1132,2.0,251
lt_mom_12_1_21d,2008,-0.1363,-0.94,253
lt_mom_12_1_21d,2009,-0.2938,-1.92,252
lt_mom_12_1_21d,2010,0.1,1.74,252
lt_mom_12_1_21d,2011,0.0172,0.29,252
lt_mom_12_1_21d,2012,-0.0106,-0.18,250
lt_mom_12_1_21d,2013,0.0986,2.33,252
lt_mom_12_1_21d,2014,-0.0246,-0.42,252
lt_mom_12_1_21d,2015,0.0948,1.51,252
lt_mom_12_1_21d,2016,-0.1309,-1.76,252
lt_mom_12_1_21d,2017,0.0333,0.63,251
lt_mom_12_1_21d,2018,0.049,0.76,251
lt_mom_12_1_21d,2019,-0.0037,-0.02,252
lt_mom_12_1_21d,2020,-0.0199,-0.01,253
lt_mom_12_1_21d,2021,-0.061,-0.59,252
lt_mom_12_1_21d,2022,0.0587,0.58,251
lt_mom_12_1_21d,2023,-0.0725,-0.9,250
lt_mom_12_1_21d,2024,0.1511,1.77,252
lt_mom_12_1_21d,2025,0.0443,0.47,250
lt_mom_12_1_21d,2026,0.1368,1.82,125
