ticker,category_token,kind,extreme_date,entry,period,horizon,mom_bucket,trend_agree,depth_favorable,gamma_regime,signed_ret,signed_baseline,edge,state_edge,correct
RSP,divergence,top,2023-07-27,extreme,H1,20,4,False,True,pos,0.04666753449622507,-0.007739324749472312,0.05440685924569738,0.04559240944572748,1
RSP,divergence,bottom,2023-10-04,confirmation,H1,1,0,False,True,neg,-0.012386104783599139,0.00038557326903472115,-0.01277167805263386,-0.013202298791474845,0
RSP,divergence,bottom,2023-10-04,confirmation,H1,3,0,False,True,neg,-0.03089407744874717,0.001165791703621749,-0.03205986915236892,-0.034034986847756174,0
RSP,divergence,bottom,2023-10-04,confirmation,H1,5,0,False,True,neg,-0.03544988610478372,0.0019398389714503205,-0.037389725076234046,-0.040793039756809535,0
RSP,divergence,bottom,2023-10-04,confirmation,H1,10,0,False,True,neg,-0.029826309794988792,0.0039090265635026,-0.033735336358491394,-0.040157974488892634,0
RSP,divergence,bottom,2023-10-04,confirmation,H1,20,0,False,True,neg,0.03409738041002264,0.007739324749472312,0.026358055660550325,0.01513237470260893,1
RSP,divergence,bottom,2023-10-04,extreme,H1,1,0,False,True,neg,-0.002873563218390829,0.00038557326903472115,-0.00325913648742555,-0.003689757226266535,0
RSP,divergence,bottom,2023-10-04,extreme,H1,3,0,False,True,neg,0.012931034482758674,0.001165791703621749,0.011765242779136926,0.009790125083749672,1
RSP,divergence,bottom,2023-10-04,extreme,H1,5,0,False,True,neg,0.022844827586206762,0.0019398389714503205,0.02090498861475644,0.01750167393418095,1
RSP,divergence,bottom,2023-10-04,extreme,H1,10,0,False,True,neg,0.009195402298850519,0.0039090265635026,0.005286375735347919,-0.0011362623950533206,1
RSP,divergence,bottom,2023-10-04,extreme,H1,20,0,False,True,neg,-0.020905172413793305,0.007739324749472312,-0.028644497163265618,-0.03987017812120701,0
RSP,divergence,bottom,2023-10-27,confirmation,H1,1,1,False,True,neg,-0.0021299254526092604,0.00038557326903472115,-0.0025154987216439817,-0.0020880426420328262,0
RSP,divergence,bottom,2023-10-27,confirmation,H1,3,1,False,True,neg,-0.012211572594959197,0.001165791703621749,-0.013377364298580946,-0.012028251379272532,0
RSP,divergence,bottom,2023-10-27,confirmation,H1,5,1,False,True,neg,-0.001916932907348179,0.0019398389714503205,-0.0038567718787984994,-0.002479861451698108,0
RSP,divergence,bottom,2023-10-27,confirmation,H1,10,1,False,True,neg,0.03706070287539931,0.0039090265635026,0.03315167631189671,0.03353164164223983,1
RSP,divergence,bottom,2023-10-27,confirmation,H1,20,1,False,True,neg,0.059708910188143394,0.007739324749472312,0.051969585438671084,0.04886287563807467,1
RSP,divergence,bottom,2023-10-27,extreme,H1,1,0,False,True,neg,0.007855753404159893,0.00038557326903472115,0.007470180135125172,0.007039559396284187,1
RSP,divergence,bottom,2023-10-27,extreme,H1,3,0,False,True,neg,0.019676791859942977,0.001165791703621749,0.018511000156321226,0.016535882460933977,1
RSP,divergence,bottom,2023-10-27,extreme,H1,5,0,False,True,neg,0.05932964237617844,0.0019398389714503205,0.057389803404728115,0.053986488724152626,1
RSP,divergence,bottom,2023-10-27,extreme,H1,10,0,False,True,neg,0.05311985635193772,0.0039090265635026,0.04921082978843512,0.04278819165803388,1
RSP,divergence,bottom,2023-10-27,extreme,H1,20,0,False,True,neg,0.0968876253179709,0.007739324749472312,0.0891483005684986,0.0779226196105572,1
RSP,3B,3B,2024-01-17,confirmation,H2,1,1,True,True,pos,0.011632366099961766,0.00038557326903472115,0.011246792830927044,0.0116742489105382,1
RSP,3B,3B,2024-01-17,confirmation,H2,3,1,True,True,pos,0.0020452511824107233,0.001165791703621749,0.0008794594787889744,0.0022285723980973874,1
RSP,3B,3B,2024-01-17,confirmation,H2,5,1,True,True,pos,0.012335421193915508,0.0019398389714503205,0.010395582222465187,0.011772492649565579,1
RSP,3B,3B,2024-01-17,confirmation,H2,10,1,True,True,pos,0.014891985171928912,0.0039090265635026,0.010982958608426312,0.011362923938769432,1
