scope,horizon,std,mad,mean,n,cov_1.0,cov_1.0_nominal,cov_1.96,cov_1.96_nominal,pit_ks_stat,pit_ks_p,pit_ks_n_indep,k_ci_lo,k_ci_hi,ci_n_dates
ticker:NKE,5,0.8542736532130586,0.7653969709084221,-0.16185694345291116,149,0.738255033557047,0.6826894921370859,0.9731543624161074,0.950004209703559,0.1714401778291107,0.3051901222882718,30,0.706533560771135,0.9423541056121443,149
ticker:NOK,5,0.9246396882552879,0.8763302302144109,0.2969854990229983,149,0.6912751677852349,0.6826894921370859,0.9395973154362416,0.950004209703559,0.1679911132591388,0.3280304575802585,30,0.7705992666754001,1.071611112175614,149
ticker:NVDA,5,0.9429095850879575,0.8517097493907453,0.1463464030910347,149,0.7315436241610739,0.6826894921370859,0.9328859060402684,0.950004209703559,0.12855153919611967,0.6574684471107386,30,0.7558072731860674,1.0508870644509098,149
ticker:OKLO,5,0.8998796212376696,0.6401078685589053,-0.0379121660102505,149,0.785234899328859,0.6826894921370859,0.9463087248322147,0.950004209703559,0.26036157220632095,0.027790804358171828,30,0.6294056229407529,1.0690086246131234,149
ticker:ORCL,5,1.220697650951209,0.9213553520595218,-0.06339857335179029,149,0.6442953020134228,0.6826894921370859,0.8859060402684564,0.950004209703559,0.21388687241838905,0.11039673311136733,30,0.9292717346698578,1.4650926658452577,149
ticker:OXY,5,0.9636883703383159,1.0318962623479433,0.2515753365394553,149,0.6510067114093959,0.6826894921370859,0.9530201342281879,0.950004209703559,0.2711182011069874,0.019402469032793745,30,0.8191241173716243,1.105378172294393,149
ticker:PANW,5,1.1419949381279841,1.202262792829234,0.3680927966389301,149,0.6174496644295302,0.6826894921370859,0.8993288590604027,0.950004209703559,0.2207294081286305,0.09169367410791773,30,0.9310085808257315,1.3355753382330673,149
ticker:PFE,5,0.7453093439878139,0.7365026667379313,0.03597163084654299,149,0.87248322147651,0.6826894921370859,0.9865771812080537,0.950004209703559,0.20421850509926942,0.14204721303764223,30,0.5619625700950033,0.9165676915832585,149
ticker:PL,5,0.8953171827015929,1.0177639425621205,0.1547199623962153,149,0.6845637583892618,0.6826894921370859,0.9798657718120806,0.950004209703559,0.1365366719267393,0.5835562060602176,30,0.7466987546422066,0.9963041252526104,149
ticker:PLTR,5,1.0697252712794192,0.7714439806080902,-0.06415410651811745,149,0.6778523489932886,0.6826894921370859,0.9060402684563759,0.950004209703559,0.20818647016248715,0.1282716879946414,30,0.8263468965722972,1.2187436338428823,149
ticker:QCOM,5,1.1290775237408153,0.9547045335562963,0.026370977408482568,149,0.6845637583892618,0.6826894921370859,0.9261744966442953,0.950004209703559,0.1606069235135147,0.3806932137273914,30,0.8222057082650761,1.3652202383041712,149
ticker:QQQ,5,0.991535617103075,0.9761658361265616,0.15830697218066644,149,0.6644295302013423,0.6826894921370859,0.959731543624161,0.950004209703559,0.1428948099656424,0.5261756609485531,30,0.8212791944742859,1.133148888678152,149
ticker:RIOT,5,1.0173840136797923,0.8361574968901561,0.20946599968147198,149,0.7114093959731543,0.6826894921370859,0.8993288590604027,0.950004209703559,0.21560312606720386,0.1054338991192405,30,0.8327548267574773,1.1890833153659381,149
ticker:RKLB,5,1.0219714034916674,0.923720138529227,0.08169748320414748,149,0.6912751677852349,0.6826894921370859,0.9530201342281879,0.950004209703559,0.14428921493695868,0.513879068942797,30,0.789122644736994,1.178358406722776,149
ticker:SBUX,5,0.8299553771704731,0.7491784135462776,0.18029313950769654,149,0.738255033557047,0.6826894921370859,0.9932885906040269,0.950004209703559,0.16526898369073115,0.34685153392160983,30,0.6938086011587745,0.9482173388508744,149
ticker:SLV,5,1.1446883347514238,1.0711735238590543,-0.03013664842646419,149,0.6308724832214765,0.6826894921370859,0.9328859060402684,0.950004209703559,0.1047327866713656,0.863411319066971,30,0.9220492405643284,1.3114381621567648,149
ticker:SMH,5,0.8690227565461957,0.9365741981579573,0.3110736802175739,149,0.6845637583892618,0.6826894921370859,0.9798657718120806,0.950004209703559,0.2179879671437026,0.0988440938257128,30,0.7247520980527287,0.9723738452280767,149
