entry_index,entry_date,entry_price,pivot_index,confirm_lag_bars,resistance,support,stretch,down,outcome,ticker,k_atr,null_hit
190,2026-05-11,38.24,186,3,44.17,31.52,51.987700000000004,23.702299999999997,hit,FLY,2.0,0.3
249,2026-08-05,22.84,244,4,58.81,17.84,84.12946,-7.4794599999999996,neither,FLY,2.0,0.0075
37,2025-08-26,330.66,34,2,348.33,277.04,392.38721999999996,232.98278000000005,hit,FN,2.0,0.5375
73,2025-10-16,412.46,59,13,389.47,358.9,408.36226000000005,340.00773999999996,hit,FN,2.0,0.935
103,2025-11-28,459.41,98,4,486.91,387.22,548.51842,325.61158,hit,FN,2.0,0.675
120,2025-12-23,486.92,116,3,528.17,426.53,590.98352,363.71648,stop,FN,2.0,0.645
151,2026-02-09,501.89,148,2,501.0,423.03,549.18546,374.84453999999994,hit,FN,2.0,0.7925
182,2026-03-25,612.03,169,12,615.99,489.38,694.2349800000001,411.13502,stop,FN,2.0,0.79
192,2026-04-09,618.26,185,6,612.03,491.88,686.2827,417.6273,hit,FN,2.0,0.835
218,2026-05-15,722.04,213,4,720.19,621.28,781.3163800000001,560.1536199999999,stop,FN,2.0,0.7925
231,2026-06-04,714.78,228,2,746.47,622.36,823.16998,545.66002,stop,FN,2.0,0.63
273,2026-08-05,522.22,268,4,725.0,414.5,916.889,222.611,neither,FN,2.0,0.1
21,2025-08-04,310.91,18,2,316.1,300.96,325.45652000000007,291.60347999999993,hit,GLD,2.0,0.4275
