entry_date,spot,vix,rv,vrp_z,w,short_put,long_put,width,credit_pts,credit_usd,max_loss_usd,contracts,margin_usd,exit_date,exit_spot,breached,net_pnl_usd,ror
2012-03-07,1352.63,19.07,0.0922,1.001,1.0,1302.9,1262.7,40.2,8.041,6433.0,3212.0,8,25697.0,2012-04-19,1376.92,False,6101.0,0.237
2012-03-21,1402.89,15.13,0.1036,0.095,0.19,1362.7,1329.2,33.4,6.566,1313.0,2687.0,2,5374.0,2012-05-03,1391.57,False,1243.0,0.231
2012-04-04,1398.96,16.44,0.1076,0.245,0.49,1355.1,1319.0,36.1,7.133,2853.0,2895.0,4,11582.0,2012-05-17,1304.86,True,-11730.0,-1.013
2012-04-12,1387.57,17.2,0.1236,0.083,0.167,1341.8,1304.5,37.4,7.413,741.0,2995.0,1,2995.0,2012-05-24,1320.68,True,-1414.0,-0.472
2012-05-10,1357.99,18.83,0.1225,0.446,0.893,1308.7,1268.9,39.8,7.967,6374.0,3187.0,8,25500.0,2012-06-22,1335.02,False,6045.0,0.237
2012-05-17,1304.86,24.49,0.1146,1.591,1.0,1242.9,1193.9,49.0,10.067,7047.0,3892.0,7,27242.0,2012-06-29,1362.16,False,6689.0,0.246
2012-05-24,1320.68,21.54,0.1131,1.06,1.0,1265.6,1221.6,44.0,8.911,7128.0,3507.0,8,28053.0,2012-07-09,1352.46,False,6764.0,0.241
2012-06-01,1278.04,26.66,0.1449,1.367,1.0,1212.0,1160.1,51.9,10.78,6468.0,4113.0,6,24677.0,2012-07-16,1353.64,False,6141.0,0.249
2012-08-27,1410.44,16.35,0.0895,0.599,1.0,1366.4,1330.2,36.2,7.151,6436.0,2904.0,9,26139.0,2012-10-09,1441.48,False,6101.0,0.233
2012-09-04,1404.94,17.98,0.0609,1.668,1.0,1356.4,1316.9,39.5,7.858,7072.0,3160.0,9,28439.0,2012-10-16,1454.92,False,6707.0,0.236
2012-09-11,1433.56,16.41,0.0951,0.455,0.911,1388.7,1351.7,36.9,7.295,5836.0,2962.0,8,23696.0,2012-10-23,1413.11,False,5534.0,0.234
2012-10-09,1441.48,16.37,0.0964,0.532,1.0,1396.4,1359.4,37.0,7.317,6586.0,2972.0,9,26744.0,2012-11-23,1409.15,False,6244.0,0.233
2012-10-16,1454.92,15.22,0.0914,0.334,0.667,1412.9,1378.1,34.9,6.851,4111.0,2802.0,6,16812.0,2012-11-30,1416.18,False,3895.0,0.232
